345,3
346,1
347,2
348,2
350,1
351,1
352,1
353,3
355,1
356,4
357,3
358,1
359,6
360,2
361,1
363,5
364,6
365,10
366,7
367,7
368,6
369,13
370,14
371,7
372,16
373,13
374,13
375,13
376,25
377,20
378,22
379,24
380,31
381,22
382,31
383,34
384,27
385,45
386,43
387,39
388,27
389,44
390,39
391,44
392,54
393,46
394,41
395,49
396,39
397,44
398,44
399,51
400,38
401,40
402,38
403,39
404,39
405,30
406,37
407,30
408,44
409,38
410,38
411,36
412,28
413,37
414,35
415,39
416,27
417,23
418,24
419,23
420,27
421,32
422,24
423,16
424,15
425,20
426,13
427,18
428,9
429,15
430,6
431,8
432,7
433,5
434,9
435,6
436,5
437,4
438,6
439,7
440,1
441,1
443,3
444,1
445,3
446,1
448,2
451,2
453,1
455,2
460,1
